Season,First team,First team,Second team,Second team,Third team,Third team
2006–07,Dirk Nowitzki* (7),Dallas Mavericks,LeBron James^ (3),Cleveland Cavaliers,Kevin Garnett* (8),Minnesota Timberwolves
2006–07,Tim Duncan* (10),San Antonio Spurs,Chris Bosh*,Toronto Raptors,Carmelo Anthony† (2),Denver Nuggets
2006–07,Amare Stoudemire (2),Phoenix Suns,Yao Ming* (3),Houston Rockets,Dwight Howard†,Orlando Magic
2006–07,Steve Nash* (5),Phoenix Suns,Gilbert Arenas (3),Washington Wizards,Dwyane Wade* (3),Miami Heat
2006–07,Kobe Bryant* (9),Los Angeles Lakers,Tracy McGrady* (6),Houston Rockets,Chauncey Billups (2),Detroit Pistons
2007–08,Kevin Garnett* (9),Boston Celtics,Dirk Nowitzki* (8),Dallas Mavericks,Carlos Boozer,Utah Jazz
2007–08,LeBron James^ (4),Cleveland Cavaliers,Tim Duncan* (11),San Antonio Spurs,Paul Pierce* (3),Boston Celtics
2007–08,Dwight Howard† (2),Orlando Magic,Amare Stoudemire (3),Phoenix Suns,Yao Ming* (4),Houston Rockets
2007–08,Kobe Bryant* (10),Los Angeles Lakers,Steve Nash* (6),Phoenix Suns,Tracy McGrady* (7),Houston Rockets
2007–08,Chris Paul^,New Orleans Hornets,Deron Williams,Utah Jazz,Manu Ginóbili*,San Antonio Spurs
2008–09,Dirk Nowitzki* (9),Dallas Mavericks,Paul Pierce* (4),Boston Celtics,Pau Gasol*,Los Angeles Lakers
2008–09,LeBron James^ (5),Cleveland Cavaliers,Tim Duncan* (12),San Antonio Spurs,Carmelo Anthony† (3),Denver Nuggets
2008–09,Dwight Howard† (3),Orlando Magic,Yao Ming* (5),Houston Rockets,Shaquille O'Neal* (14),Phoenix Suns
2008–09,Kobe Bryant* (11),Los Angeles Lakers,Brandon Roy,Portland Trail Blazers,Chauncey Billups (3),Denver Nuggets
2008–09,Dwyane Wade* (4),Miami Heat,Chris Paul^ (2),New Orleans Hornets,Tony Parker*,San Antonio Spurs
2009–10,Kevin Durant^,Oklahoma City Thunder,Carmelo Anthony† (4),Denver Nuggets,Pau Gasol* (2),Los Angeles Lakers
2009–10,LeBron James^ (6),Cleveland Cavaliers,Dirk Nowitzki* (10),Dallas Mavericks,Tim Duncan* (13),San Antonio Spurs
2009–10,Dwight Howard† (4),Orlando Magic,Amar'e Stoudemire (4),Phoenix Suns,Andrew Bogut,Milwaukee Bucks
2009–10,Kobe Bryant* (12),Los Angeles Lakers,Deron Williams (2),Utah Jazz,Joe Johnson†,Atlanta Hawks
